SSerial,Rsex,Rage,MeatEnv,MeatHlth,MeatWelf,livcost1,Country,MeatHab,REconAct,REarnD
352876.0,2,88.0,3,2,2,4,1,1,0,0
350049.0,2,73.0,2,2,2,5,1,1,0,0
351314.0,2,27.0,1,1,1,5,1,1,0,0
350651.0,2,43.0,3,5,1,5,1,0,1,5
352506.0,1,49.0,4,5,5,5,1,0,1,5
352447.0,2,41.0,2,2,2,5,1,1,0,0
351167.0,1,63.0,2,2,2,5,1,1,0,0
350947.0,2,29.0,2,3,4,4,1,1,1,5
352376.0,2,52.0,3,4,4,5,1,1,1,8
351792.0,2,35.0,4,3,4,5,1,1,0,0
350883.0,1,54.0,3,3,4,5,1,1,1,0
352023.0,1,39.0,3,1,5,5,1,1,1,4
352627.0,1,53.0,4,4,5,5,1,1,1,8
350067.0,2,71.0,2,2,3,5,1,1,0,0
351820.0,2,56.0,2,2,3,5,1,1,1,0
350177.0,1,52.0,4,2,4,5,1,1,1,4
352613.0,2,44.0,4,4,4,5,1,1,1,7
351260.0,1,78.0,5,5,5,3,1,1,0,0
351025.0,2,22.0,2,2,4,5,1,1,1,4
351786.0,2,24.0,3,2,4,5,1,1,1,3
350821.0,1,32.0,2,4,2,5,1,1,1,2
350950.0,1,46.0,1,3,2,5,1,1,0,0
350349.0,2,53.0,2,2,4,5,1,1,1,2
350880.0,1,36.0,2,2,4,5,1,1,1,4
351919.0,1,24.0,5,5,3,4,1,1,0,0
351209.0,1,74.0,4,4,2,5,1,1,0,0
351320.0,1,41.0,3,4,2,5,1,1,1,0
350108.0,1,40.0,2,2,4,5,1,1,1,5
350744.0,1,70.0,2,3,2,4,1,1,1,0
350358.0,2,33.0,2,2,4,5,1,0,0,0
350637.0,1,42.0,2,4,3,5,1,1,0,0
350519.0,2,23.0,2,2,4,5,1,1,0,0
352042.0,1,48.0,3,3,3,5,1,1,1,6
352729.0,2,57.0,2,4,3,5,1,1,0,0
350182.0,1,62.0,3,5,3,5,1,1,0,0
350184.0,2,91.0,2,4,4,5,1,1,0,0
351444.0,1,61.0,2,4,4,4,1,1,1,4
350876.0,1,52.0,5,4,3,5,1,1,1,9
351439.0,2,82.0,2,2,0,5,1,0,0,0
351926.0,2,38.0,4,4,4,5,1,0,1,10
350165.0,2,18.0,2,4,4,4,1,1,0,0
352049.0,1,68.0,2,4,2,5,1,1,0,0
351117.0,1,60.0,3,4,4,5,1,1,1,7
351248.0,1,63.0,4,3,4,5,1,1,0,0
